,row,command,args,end
0,5,OL_LEFT,[],1
1,5,OL_TITLE,['この話のあらすじ'],1
2,5,outline,['ゼシアを'],0
3,5,ruby,"['心配', 'しんぱい']",1
4,5,outline,['し'],0
5,5,ruby,"['焦', 'あせ']",1
6,5,outline,['る'],0
7,5,ruby,"['王子', 'おうじ']",1
8,5,outline,['。\\n'],0
9,5,ruby,"['一見', 'いっけん']",1
10,5,outline,['、'],0
11,5,ruby,"['気丈', 'きじょう']",1
12,5,outline,['に'],0
13,5,ruby,"['見', 'み']",1
14,5,outline,['えるゼシアだったが、'],0
15,5,ruby,"['王子', 'おうじ']",1
16,5,outline,['は\\n'],0
17,5,ruby,"['彼女', 'かのじょ']",1
18,5,outline,['が'],0
19,5,ruby,"['無理', 'むり']",1
20,5,outline,['をしていることを'],0
21,5,ruby,"['知', 'し']",1
22,5,outline,['っていた。\\nゼシアを'],0
23,5,ruby,"['一刻', 'いっこく']",1
24,5,outline,['も'],0
25,5,ruby,"['早', 'はや']",1
26,5,outline,['く'],0
27,5,ruby,"['救', 'すく']",1
28,5,outline,['うため、'],0
29,5,ruby,"['先', 'さき']",1
30,5,outline,['を'],0
31,5,ruby,"['急', 'いそ']",1
32,5,outline,['ぐ。'],1
33,9,BLACK_OUT_DEF_STOP,[],1
34,10,set_BG,['sty_bg_0023_100'],1
35,11,window_type,['NORMAL'],1
36,12,play_sound,['BGM_IN_STORY_0008_02'],1
37,13,BLACK_SCREEN,[],1
38,14,BLACK_IN_DEF,[],1
39,15,telop,"['アドラ火山', '溶岩洞窟', '\u3000\u3000\u3000\u3000\u3000\u3000かざん', 'ようがんどうくつ']",1
40,16,SCREEN_COLOR_DEF,[],1
41,18,CHARA_SET,"['M', 'M', 'C', 'c0101', '9']",1
42,19,window_fadein,"['0', 'true']",1
43,20,c_bound2_b_slow,['c0101'],1
44,21,play_sound,['VO_CHR_MAINSTORY_03_04_0001'],1
45,22,print,"['cn0101', 'はぁ……はぁ……。']",0
46,22,wait,['2.4'],1
47,22,print,['cn0101'],0
48,22,c_face,"['M', 'M', 'c0101', '4']",1
49,22,print,['これで、\\nここの'],0
50,22,ruby,"['魔獣', 'まじゅう']",1
51,22,print,['は'],0
52,22,ruby,"['倒', 'たお']",1
53,22,print,['した。'],0
54,22,ruby,"['先', 'さき']",1
55,22,print,['へ'],0
56,22,ruby,"['進', 'すす']",1
