,row,command,args,end
0,2,wait,['0'],1
1,3,stop_bgm,['2.0'],1
2,5,BLACK_OUT_DEF_STOP,[],1
3,6,cutt_loadscene,"['100000101', '1']",1
4,7,cutt_load_story,"['CT_MAIN_000_001', '1']",1
5,8,frame_visible,"['false', '0.3']",1
6,9,BLACK_IN_DEF,[],1
7,11,OL_LEFT,[],1
8,11,OL_TITLE,['この話のあらすじ'],1
9,11,ruby,"['魔獣', 'まじゅう']",1
10,11,outline,['によって'],0
11,11,ruby,"['危機', 'きき']",1
12,11,outline,['に'],0
13,11,ruby,"['陥', 'おちい']",1
14,11,outline,['った'],0
15,11,ruby,"['王子', 'おうじ']",1
16,11,outline,['を'],0
17,11,ruby,"['助', 'たす']",1
18,11,outline,['けたのは\\n'],0
19,11,ruby,"['双子', 'ふたご']",1
20,11,outline,['の'],0
21,11,ruby,"['妹', 'いもうと']",1
22,11,outline,['ゼシアと'],0
23,11,ruby,"['妖精', 'ようせい']",1
24,11,outline,['のナームだった。\\nどんな'],0
25,11,ruby,"['苦難', 'くなん']",1
26,11,outline,['も'],0
27,11,ruby,"['一緒', 'いっしょ']",1
28,11,outline,['に'],0
29,11,ruby,"['立', 'た']",1
30,11,outline,['ち'],0
31,11,ruby,"['向', 'む']",1
32,11,outline,['かおうという\\n'],0
33,11,ruby,"['昔', 'むかし']",1
34,11,outline,['に'],0
35,11,ruby,"['交', 'か']",1
36,11,outline,['わした'],0
37,11,ruby,"['約束通', 'やくそくどお']",1
38,11,outline,['り、\\n3'],0
39,11,ruby,"['人', 'にん']",1
40,11,outline,['で'],0
41,11,ruby,"['一緒', 'いっしょ']",1
42,11,outline,['に'],0
43,11,ruby,"['先', 'さき']",1
44,11,outline,['に'],0
45,11,ruby,"['進', 'すす']",1
46,11,outline,['むのだった。'],1
47,13,window_type,['NORMAL'],1
48,15,next_area,[],1
49,17,play_sound,['BGM_IN_STORY_0008_02'],1
50,19,cutt_waitevent_disable_skip,[],1
51,21,WFIN_SHORT,[],1
52,22,frame_visible,"['true', '0.3']",1
53,25,print,"['王子#ユーディル', 'あれは……']",0
54,25,ruby,"['魔法', 'まほう']",1
55,25,print,"['王子#ユーディル', '!?\\n']",0
56,25,wait_print,[],1
57,25,print,['王子#ユーディル'],0
58,25,ruby,"['魔法', 'まほう']",1
59,25,print,['を'],0
60,25,ruby,"['使', 'つか']",1
61,25,print,['える'],0
62,25,ruby,"['魔獣', 'まじゅう']",1
63,25,print,['なんて'],0
64,25,ruby,"['初', 'はじ']",1
65,25,print,['めて'],0
66,25,ruby,"['見', 'み']",1
67,25,print,"['たぞ!?', 'VO_CHR_INGAMESTORY_00_04_0001']",1
68,27,cutt_resetpause,[],1
69,29,WFOUT_DEF,[],1
70,30,frame_visible,"['false', '0.3']",1
71,32,cutt_waitevent_disable_skip,[],1
72,34,WFIN_SHORT,[],1
73,35,frame_visible,"['true', '0.3']",1
74,37,print,"['王子#ユーディル', 'があああっ!!']",0
75,37,wait_print,[],1
76,37,print,"['王子#ユーディル', '\\nこ……']",0
77,37,wait_print,[],1
78,37,print,"['王子#ユーディル', 'このままじゃ……', 'VO_CHR_INGAMESTORY_00_04_0002']",1
79,39,cutt_resetpause,[],1
80,41,cutt_waitevent_disable_skip,[],1
81,43,print,['？？？#cn0901'],0
82,43,ruby,"['兄', 'にい']",1
83,43,print,['さま！\u3000'],0
84,43,ruby,"['今', 'いま']",1
85,43,print,['お'],0
