,row,command,args,end
0,5,OL_LEFT,[],1
1,5,OL_TITLE,['この話のあらすじ'],1
2,5,ruby,"['黒', 'くろ']",1
3,5,outline,['いマナのポセイドンを'],0
4,5,ruby,"['倒', 'たお']",1
5,5,outline,['すも、さらに'],0
6,5,ruby,"['出現', 'しゅつげん']",1
7,5,outline,['\\nしたドラゴンに'],0
8,5,ruby,"['追', 'お']",1
9,5,outline,['い'],0
10,5,ruby,"['詰', 'つ']",1
11,5,outline,['められる'],0
12,5,ruby,"['王子', 'おうじ']",1
13,5,outline,['たち。\\nリーフの'],0
14,5,ruby,"['活躍', 'かつやく']",1
15,5,outline,['によりこれを'],0
16,5,ruby,"['撃退', 'げきたい']",1
17,5,outline,['するが、\\n'],0
18,5,ruby,"['今度', 'こんど']",1
19,5,outline,['は'],0
20,5,ruby,"['魔幻炉', 'まげんろ']",1
21,5,outline,['の'],0
22,5,ruby,"['暴走', 'ぼうそう']",1
23,5,outline,['により'],0
24,5,ruby,"['施設', 'しせつ']",1
25,5,outline,['の'],0
26,5,ruby,"['床', 'ゆか']",1
27,5,outline,['が\\n'],0
28,5,ruby,"['崩', 'くず']",1
29,5,outline,['れ、'],0
30,5,ruby,"['王子', 'おうじ']",1
31,5,outline,['たちは'],0
32,5,ruby,"['暗闇', 'くらやみ']",1
33,5,outline,['に'],0
34,5,ruby,"['落', 'お']",1
35,5,outline,['ちていく。'],1
36,9,BLACK_OUT_DEF_STOP,[],1
37,10,set_BG,['sty_bg_0115_100'],1
38,11,window_type,['NORMAL'],1
39,12,play_sound,['BGM_IN_STORY_0010_05'],1
40,13,BLACK_IN_DEF,[],1
41,19,CHARA_SET,"['M', 'M', 'C', 'd2201', '1']",1
42,20,play_sound,['SE_STORY_COMMON_0453'],1
43,21,c_swing_h_slow,['d2201'],1
44,22,wait,['2'],1
45,23,mnu_move,"['d2201', 'true', '0.6', '0', '-150', 'EaseOutQuint']",1
46,24,chara_fadeout,"['d2201', '0.6']",1
47,25,set_BG_effect,"['1', 'EFF_029', 'EFF_029']",1
48,26,set_BG_effect_trigger,"['0', '9', '8']",1
49,27,set_BG_effect_opacity,"['EFF_029', '1']",1
50,28,play_sound,['SE_STORY_COMMON_0166'],1
51,29,play_sound,['SE_STORY_COMMON_0118'],1
52,30,effect_shake_bg,"['12', '0.1', '0.2', '1']",1
