,row,command,args,end
0,5,OL_LEFT,[],1
1,5,OL_TITLE,['この話のあらすじ'],1
2,5,outline,['アルベリウスの'],0
3,5,ruby,"['最期', 'さいご']",1
4,5,outline,['の'],0
5,5,ruby,"['願', 'ねが']",1
6,5,outline,['い、それは'],0
7,5,ruby,"['自分', 'じぶん']",1
8,5,outline,['の\\n'],0
9,5,ruby,"['心', 'こころ']",1
10,5,outline,['が'],0
11,5,ruby,"['魔神', 'まじん']",1
12,5,outline,['に'],0
13,5,ruby,"['侵', 'おか']",1
14,5,outline,['されてしまう'],0
15,5,ruby,"['前', 'まえ']",1
16,5,outline,['に、'],0
17,5,ruby,"['自分', 'じぶん']",1
18,5,outline,['ごと\\n'],0
19,5,ruby,"['魔神', 'まじん']",1
20,5,outline,['を'],0
21,5,ruby,"['倒', 'たお']",1
22,5,outline,['してもらうことだった。\\nアルベリウスの'],0
23,5,ruby,"['決意', 'けつい']",1
24,5,outline,['を'],0
25,5,ruby,"['知', 'し']",1
26,5,outline,['り、'],0
27,5,ruby,"['王子', 'おうじ']",1
28,5,outline,['たちは\\n'],0
29,5,ruby,"['冥竜', 'めいりゅう']",1
30,5,outline,['に'],0
31,5,ruby,"['竜化', 'りゅうか']",1
32,5,outline,['したアルベリウスに'],0
33,5,ruby,"['立', 'た']",1
34,5,outline,['ち'],0
35,5,ruby,"['向', 'む']",1
36,5,outline,['かう。'],1
37,9,BLACK_OUT_DEF_STOP,[],1
38,10,set_BG,['sty_bg_0092_100'],1
39,11,window_type,['NORMAL'],1
40,12,play_sound,['BGM_IN_STORY_0002_01'],1
41,13,BLACK_SCREEN,[],1
42,14,BLACK_IN_DEF,[],1
43,21,telop,"['『クラーベ・ロイエルン』', '最深部', ' ', 'さいしんぶ']",1
44,22,SCREEN_COLOR_DEF,[],1
45,25,CHARA_SET,"['M', 'M', 'C', 'd2011', '9']",1
46,26,window_fadein,"['0', 'true']",1
47,27,play_sound,['VO_CHR_INGAMESTORY_10_06_0001'],1
48,28,print,"['cn0131', 'ウグ……ゴゴガアアア……', 'VO_CHR_INGAMESTORY_10_06_0001']",1
49,29,WFOUT_DEF,[],1
50,30,CHARA_FADEOUT_DEF,['d2011'],1
51,33,CHARA_KAMITE_SE,"['M', 'M', 'C', 'c0101', '15', 'SE_WALK_IN_GR']",1
52,34,c_swing_h_slow,['c0101'],1
