,row,command,args,end
0,18,OL_LEFT,[],1
1,18,OL_TITLE,['この話のあらすじ'],1
2,18,ruby,"['復活', 'ふっかつ']",1
3,18,outline,['した『はじまりの'],0
4,18,ruby,"['人', 'ひと']",1
5,18,outline,['』。グラムスの'],0
6,18,ruby,"['街', 'まち']",1
7,18,outline,['は\\n'],0
8,18,ruby,"['黒', 'くろ']",1
9,18,outline,['いマナが'],0
10,18,ruby,"['充満', 'じゅうまん']",1
11,18,outline,['し、'],0
12,18,ruby,"['恐慌状態', 'きょうこうじょうたい']",1
13,18,outline,['に'],0
14,18,ruby,"['陥', 'おちい']",1
15,18,outline,['る。\\n『はじまりの'],0
16,18,ruby,"['人', 'ひと']",1
17,18,outline,['』に'],0
18,18,ruby,"['立', 'た']",1
19,18,outline,['ち'],0
20,18,ruby,"['向', 'む']",1
21,18,outline,['かう'],0
22,18,ruby,"['一行', 'いっこう']",1
23,18,outline,['だったが\\n'],0
24,18,ruby,"['因果', 'いんが']",1
25,18,outline,['を'],0
26,18,ruby,"['固定', 'こてい']",1
27,18,outline,['され、'],0
28,18,ruby,"['傷', 'きず']",1
29,18,outline,['ひとつ'],0
30,18,ruby,"['負', 'お']",1
31,18,outline,['わせられない。\\n'],0
32,18,ruby,"['絶望', 'ぜつぼう']",1
33,18,outline,['が'],0
34,18,ruby,"['一行', 'いっこう']",1
35,18,outline,['を'],0
36,18,ruby,"['襲', 'おそ']",1
37,18,outline,['う。'],1
38,22,BLACK_OUT_DEF_STOP,[],1
39,23,set_BG,['sty_bg_0141_100'],1
40,24,window_type,['NORMAL'],1
41,25,CHARA_SET,"['M', 'M', 'C', 'mainstory_023001', '1']",1
42,26,CHARA_UNCOLOR,['mainstory_023001'],1
43,27,play_sound,['BGM_IN_STORY_0012_01'],1
44,28,set_BG_effect,['EFF_SCE_2D_CMN_024'],1
45,29,set_BG_effect_opacity,"['EFF_SCE_2D_CMN_024', '0']",1
46,30,set_BG_effect_pos,"['EFF_SCE_2D_CMN_024', '0', '100']",1
47,31,set_BG_effect_scale,"['EFF_SCE_2D_CMN_024', '1.3', '1.3']",1
48,32,set_BG_effect_trigger,['8'],1
49,33,BLACK_IN_DEF,[],1
50,42,play_sound,['VO_CHR_MAINSTORY_23_06_0001'],1
51,43,print,"['cn0114', '……!?\u3000']",0
52,43,ruby,"['何', 'なに']",1
53,43,print,"['cn0114', 'をするつもりです、\\nベベット！', 'VO_CHR_MAINSTORY_23_06_0001']",1
54,45,play_sound,['VO_CHR_MAINSTORY_23_06_0002'],1
55,46,print,"['cn0138', 'ファルエス']",0
56,46,ruby,"['兄', 'にい']",1
57,46,print,"['cn0138', 'さんが']",0
58,46,ruby,"['邪魔', 'じゃま']",1
59,46,print,"['cn0138', 'をするから、\\n']",0
60,46,ruby,"['扉', 'とびら']",1
61,46,print,"['cn0138', 'を']",0
62,46,ruby,"['別', 'べつ']",1
63,46,print,"['cn0138', 'のところに']",0
64,46,ruby,"['作', 'つく']",1
65,46,print,"['cn0138', 'るのさ。', 'VO_CHR_MAINSTORY_23_06_0002']",1
66,48,play_sound,['VO_CHR_MAINSTORY_23_06_0003'],1
67,49,print,['cn0114'],0
68,49,ruby,"['別', 'べつ']",1
