,row,command,args,end
0,3,OL_LEFT,[],1
1,3,OL_TITLE,['この話のあらすじ'],1
2,3,outline,['イリアを'],0
3,3,ruby,"['庇', 'かば']",1
4,3,outline,['い、'],0
5,3,ruby,"['致命傷', 'ちめいしょう']",1
6,3,outline,['を'],0
7,3,ruby,"['負', 'お']",1
8,3,outline,['ったモルティス。\\n'],0
9,3,ruby,"['先', 'さき']",1
10,3,outline,['を'],0
11,3,ruby,"['悟', 'さと']",1
12,3,outline,['ったモルティスは'],0
13,3,ruby,"['王子', 'おうじ']",1
14,3,outline,['に'],0
15,3,ruby,"['創世', 'そうせい']",1
16,3,outline,['の'],0
17,3,ruby,"['器', 'うつわ']",1
18,3,outline,['と\\nなることを'],0
19,3,ruby,"['託', 'たく']",1
20,3,outline,['した。'],0
21,3,ruby,"['散', 'ち']",1
22,3,outline,['り'],0
23,3,ruby,"['散', 'ぢ']",1
24,3,outline,['りになっていた\\n'],0
25,3,ruby,"['仲間', 'なかま']",1
26,3,outline,['たちも'],0
27,3,ruby,"['駆', 'か']",1
28,3,outline,['けつけ、ついに'],0
29,3,ruby,"['王子', 'おうじ']",1
30,3,outline,['は\\nゼノスとの'],0
31,3,ruby,"['決戦', 'けっせん']",1
32,3,outline,['に'],0
33,3,ruby,"['挑', 'いど']",1
34,3,outline,['む！'],1
35,5,BLACK_OUT_DEF_STOP,[],1
36,6,set_BG,['sty_bg_0040_100'],1
37,7,set_BG,['sty_bg_0146_200'],1
38,8,window_type,['NORMAL'],1
39,9,play_sound,['BGM_IN_STORY_0014_01'],1
40,10,BLACK_IN_DEF,[],1
41,12,CHARA_SET,"['M', 'M', 'C', 'p36701', '7']",1
42,13,WFOUT_DEF,[],1
43,14,play_sound,['BGM_IN_STORY_0014_01'],1
44,15,CHARA_SET_POS_0,"['M', 'M', '180', '250', 'n25501', '1']",1
45,16,CHARA_SET_POS_0,"['M', 'M', '-180', '0', 'n25501b', '1']",1
46,17,play_sound,['SE_STORY_COMMON_0169'],1
47,18,mnu,"['n25501', 'true', '0.05', '0', '-120', '1', '0.05', '1', '1', '1', '0.05', '0', '1', '0.05', '0', '1']",1
48,19,mnu,"['n25501', 'false', '0.8', '0', '120', 'EaseOutSine', '0.8', '1', '1', '1', '0.8', '0', '1', '0.8', '1', '1']",1
49,20,mnu,"['n25501b', 'true', '0.05', '0', '-120', '1', '0.05', '1', '1', '1', '0.05', '0', '1', '0.05', '0', '1']",1
50,21,mnu,"['n25501b', 'false', '0.8', '0', '120', 'EaseOutSine', '0.8', '1', '1', '1', '0.8', '0', '1', '0.8', '1', '1']",1
51,22,cmp,"['n25501', '0.85', '0', '0', '1', '1', '0', '1']",1
52,23,cmp,"['n25501b', '0.85', '0', '0', '1', '1', '0', '1']",1
53,24,NO_EMO,['p36701'],1
54,25,stop_se,['1'],1
55,26,wait,['1'],1
56,28,c_face,"['M', 'M', 'p36701', '6']",1
57,29,c_swing2_h_fast,['p36701'],1
58,30,window_fadein,"['0', 'true']",1
59,31,play_sound,['VO_CHR_MAINSTORY_26_11_0001'],1
60,32,print,"['cn3667', '――っ!?\u3000しまった……！', 'VO_CHR_MAINSTORY_26_11_0001']",1
61,33,WFOUT_DEF,[],1
62,34,CHARA_FADEOUT3_DEF,"['n25501', 'n25501b', 'p36701']",1
63,36,CHARA_SET,"['M', 'M', 'C', 'c3669', '11']",1
64,37,play_sound,['VO_CHR_MAINSTORY_26_11_0002'],1
65,38,print,"['cn3669', 'イリアアアアアアアアッ！', 'VO_CHR_MAINSTORY_26_11_0002']",1
66,39,WFOUT_DEF,[],1
67,40,CHARA_FADEOUT_DEF,['c3669'],1
68,43,CharaSet,"['DEF', 'n25501', '1', 'M', 'M', '100', '100', 'n25501b', '1', 'M', 'M', '-100', '-100']",1
69,44,CHARA_ATTACK_DARK2,['n25501'],1
70,45,CHARA_FADEOUT2_DEF,"['n25501', 'n25501b']",1
71,46,NO_EFFECT,[],1
72,47,BGMFOUT_DEF,[],1
73,48,play_sound,['SE_STORY_COMMON_0015'],1
74,49,set_BG_effect,"['EFF_SCE_2D_CMN_165', 'EFF_SCE_2D_CMN_062']",1
75,50,set_BG_effect_color,"['EFF_SCE_2D_CMN_062', '51', '0', '118']",1
76,51,set_BG_effect_color,"['EFF_SCE_2D_CMN_165', '94', '0', '176']",1
77,52,set_BG_effect_scale,"['EFF_SCE_2D_CMN_165', '3', '3']",1
78,53,set_BG_effect_speed,"['EFF_SCE_2D_CMN_165', '0.5']",1
79,54,set_BG_effect_speed,"['EFF_SCE_2D_CMN_062', '5', '5']",1
80,55,set_BG_effect_trigger,"['8', '9']",1
81,56,wait,['0.5'],1
82,58,CharaSet,"['DEF', 'c3667', '7', 'M', 'M', '-20', '0', 'c3669', '6', 'M', 'Q', '150', '0']",1
83,59,set_BG_effect_opacity,"['EFF_SCE_2D_CMN_062', '0', '1.0']",1
84,60,play_sound,['BGM_IN_STORY_0009_06'],1
85,61,play_sound,['VO_CHR_MAINSTORY_26_11_0003'],1
86,62,print,"['cn3667', '……えっ!?\u3000も、モルティス！', 'VO_CHR_MAINSTORY_26_11_0003']",1
87,63,c_face,"['M', 'Q', 'c3667', '7']",1
88,64,c_face,"['M', 'M', 'c3669', '6']",1
89,65,c_swing2_h_fast,['c3669'],1
90,66,play_sound,['VO_CHR_MAINSTORY_26_11_0004'],1
91,67,print,"['cn3669', 'ぶ、']",0
92,67,ruby,"['無事', 'ぶじ']",1
93,67,print,"['cn3669', '……か……？\u3000イリア……。', 'VO_CHR_MAINSTORY_26_11_0004']",1
94,68,c_face,"['M', 'M', 'c3667', '9']",1
95,69,c_face,"['M', 'Q', 'c3369', '6']",1
96,70,c_swing_h_slow,['c3667'],1
97,71,NO_EMO,['c3669'],1
98,72,play_sound,['VO_CHR_MAINSTORY_26_11_0005'],1
99,73,print,"['cn3667', 'そんな……ボクを']",0
100,73,ruby,"['庇', 'かば']",1
101,73,print,"['cn3667', 'って……\\nどうして……!?', 'VO_CHR_MAINSTORY_26_11_0005']",1
102,74,c_face,"['M', 'Q', 'c3667', '9']",1
103,75,c_face,"['Q', 'M', 'c3669', '6']",1
104,76,play_sound,['VO_CHR_MAINSTORY_26_11_0006'],1
105,77,print,['cn3669'],0
106,77,ruby,"['理由', 'りゆう']",1
107,77,print,['なんて……ない。'],0
108,77,ruby,"['好', 'す']",1
109,77,print,['きな'],0
110,77,ruby,"['人', 'ひと']",1
111,77,print,['を\\n'],0
112,77,ruby,"['助', 'たす']",1
113,77,print,['けるのに'],0
114,77,ruby,"['理由', 'りゆう']",1
115,77,print,['はいらない……\\nイリアがそう'],0
116,77,ruby,"['教', 'おし']",1
117,77,print,"['えてくれた……。', 'VO_CHR_MAINSTORY_26_11_0006']",1
118,78,WFOUT_DEF,[],1
119,79,play_sound,['SE_048'],1
120,80,c_push_b,['c3669'],1
121,81,wait,['0.5'],1
