,row,command,args,end
0,5,OL_LEFT,[],1
1,5,outline_title,['この話のあらすじ'],1
2,5,outline,['イリア'],0
3,5,ruby,"['教会', 'きょうかい']",1
4,5,outline,['の'],0
5,5,ruby,"['聖騎士', 'せいきし']",1
6,5,outline,['エルフィリスを'],0
7,5,ruby,"['助', 'たす']",1
8,5,outline,['けた\\n'],0
9,5,ruby,"['王子', 'おうじ']",1
10,5,outline,['たち。'],0
11,5,ruby,"['彼女', 'かのじょ']",1
12,5,outline,['は'],0
13,5,ruby,"['自分', 'じぶん']",1
14,5,outline,['を'],0
15,5,ruby,"['助', 'たす']",1
16,5,outline,['けてくれたお'],0
17,5,ruby,"['礼', 'れい']",1
18,5,outline,['に\\n'],0
19,5,ruby,"['一行', 'いっこう']",1
20,5,outline,['の'],0
21,5,ruby,"['護衛', 'ごえい']",1
22,5,outline,['を'],0
23,5,ruby,"['申', 'もう']",1
24,5,outline,['し'],0
25,5,ruby,"['出', 'で']",1
26,5,outline,['る。'],1
27,9,BLACK_OUT_DEF_STOP,[],1
28,10,set_BG,['sty_bg_0021_100'],1
29,11,play_sound,['BGM_IN_STORY_0008_02'],1
30,12,BLACK_IN_DEF,[],1
31,14,CHARA_SET,"['M', 'M', 'C', 'c0105', '4']",1
32,15,window_fadein,"['0', 'true']",1
33,16,play_sound,['VO_CHR_INGAMESTORY_01_02_0001'],1
34,17,print,"['暗殺者', 'チッ、とんだ']",0
35,17,ruby,"['横', 'よこ']",1
36,17,print,"['暗殺者', 'ヤリが……。\\nここは']",0
37,17,ruby,"['一度', 'いちど']",1
38,17,print,"['暗殺者', '、']",0
39,17,ruby,"['退', 'ひ']",1
40,17,print,"['暗殺者', 'いてやる。', 'VO_CHR_INGAMESTORY_01_02_0001']",1
41,18,play_sound,['VO_CHR_INGAMESTORY_01_02_0002'],1
42,19,print,"['暗殺者', 'だがおれは……']",0
43,19,ruby,"['決', 'けっ']",1
44,19,print,"['暗殺者', 'してあきらめん！', 'VO_CHR_INGAMESTORY_01_02_0002']",1
45,20,WFOUT_DEF,[],1
46,21,SHIMOTE_OUT_DEF_SE,"['c0105', 'SE_RUN_OUT_GR']",1
47,23,wait,['1.0'],1
48,25,BLACK_OUT_DEF,[],1
49,26,BGMFOUT_DEF,[],1
50,27,window_type,['MONOLOGUE'],1
51,28,print,['SYS'],0
52,28,ruby,"['暗殺者', 'あんさつしゃ']",1
53,28,print,['を'],0
54,28,ruby,"['退', 'しりぞ']",1
55,28,print,['けた'],0
56,28,ruby,"['一行', 'いっこう']",1
57,28,print,['は\\nその'],0
58,28,ruby,"['場', 'ば']",1
59,28,print,['を'],0
60,28,ruby,"['離', 'はな']",1
61,28,print,['れ──\\n'],0
62,28,ruby,"['木陰', 'こかげ']",1
63,28,print,['で'],0
64,28,ruby,"['休', 'やす']",1
65,28,print,['むことにした。'],1
66,29,play_sound,['BGM_IN_STORY_0001_03'],1
67,30,BLACK_IN_DEF,[],1
68,32,window_type,['NORMAL'],1
69,34,CHARA_SET,"['M', 'M', 'C', 'c0109', '5']",1
70,35,play_sound,['VO_CHR_INGAMESTORY_01_02_0004'],1
71,36,print,['cn0109'],0
72,36,ruby,"['無事', 'ぶじ']",1
73,36,print,['でなによりです、'],0
74,36,ruby,"['聖騎士', 'せいきし']",1
75,36,print,['の'],0
76,36,ruby,"['方', 'かた']",1
77,36,print,['。\\nお'],0
78,36,ruby,"['名前', 'なまえ']",1
79,36,print,"['は？', 'VO_CHR_INGAMESTORY_01_02_0004']",1
80,37,WFOUT_SHORT,[],1
81,38,CHARA_FADEOUT_DEF,['c0109'],1
82,40,CHARA_INTRO_SET,"['c0102', 'cn0102', '聖倫の槍', 'セイクリッドランス', 'イリア教会\u3000聖騎士', 'きょうかい\u3000\u3000\u3000\u3000せいきし', 'Icon_Emblem_Story_01']",1
83,42,CHARA_SET,"['M', 'M', 'C', 'c0102', '12']",1
84,43,play_sound,['VO_CHR_INGAMESTORY_01_02_0005'],1
85,44,print,"['cn0102', 'エルフィリスと']",0
86,44,ruby,"['申', 'もう']",1
87,44,print,"['cn0102', 'します。\\nあなたはもしや……']",0
88,44,ruby,"['巫女', 'みこ']",1
89,44,print,"['cn0102', 'のゼシアさま？', 'VO_CHR_INGAMESTORY_01_02_0005']",1
90,45,CHARA_FADEOUT_DEF,['c0102'],1
91,47,CHARA_SET,"['M', 'M', 'C', 'c0109', '12']",1
92,48,play_sound,['VO_CHR_INGAMESTORY_01_02_0006'],1
93,49,print,['cn0109'],0
94,49,ruby,"['私', 'わたし']",1
95,49,print,['のことを'],0
96,49,ruby,"['知', 'し']",1
97,49,print,"['っているのですか？', 'VO_CHR_INGAMESTORY_01_02_0006']",1
98,50,CHARA_FADEOUT_DEF,['c0109'],1
99,52,CHARA_SET,"['M', 'M', 'C', 'c0102', '12']",1
100,53,c_bound_b,['c0102'],1
101,54,play_sound,['VO_CHR_INGAMESTORY_01_02_0007'],1
102,55,print,"['cn0102', 'はい。ゼシアさまを']",0
103,55,ruby,"['存', 'ぞん']",1
104,55,print,"['cn0102', 'じ']",0
105,55,ruby,"['上', 'あ']",1
106,55,print,"['cn0102', 'げない']",0
107,55,ruby,"['者', 'もの']",1
108,55,print,"['cn0102', 'など\\n']",0
109,55,ruby,"['聖騎士', 'せいきし']",1
110,55,print,"['cn0102', 'の']",0
111,55,ruby,"['中', 'なか']",1
112,55,print,"['cn0102', 'にはいません。', 'VO_CHR_INGAMESTORY_01_02_0007']",1
113,56,chara_face,"['c0102', '12']",1
114,57,play_sound,['VO_CHR_INGAMESTORY_01_02_0008'],1
115,58,print,['cn0102'],0
116,58,ruby,"['王族', 'おうぞく']",1
117,58,print,['に'],0
118,58,ruby,"['名', 'な']",1
119,58,print,['を'],0
120,58,ruby,"['連', 'つら']",1
121,58,print,['ねる、イリアの'],0
122,58,ruby,"['巫女', 'みこ']",1
123,58,print,"['……。', 'VO_CHR_INGAMESTORY_01_02_0008']",1
124,59,chara_face,"['c0102', '5']",1
125,60,play_sound,['VO_CHR_INGAMESTORY_01_02_0009'],1
126,61,print,"['cn0102', 'あなたさまをはじめ、']",0
127,61,ruby,"['尊', 'とうと']",1
128,61,print,"['cn0102', 'い']",0
129,61,ruby,"['祭司', 'さいし']",1
130,61,print,"['cn0102', 'の']",0
131,61,ruby,"['方々', 'かたがた']",1
132,61,print,"['cn0102', 'を\\n']",0
133,61,ruby,"['守', 'まも']",1
134,61,print,"['cn0102', 'るのが、']",0
135,61,ruby,"['私', 'わたし']",1
136,61,print,"['cn0102', 'たちの']",0
137,61,ruby,"['役目', 'やくめ']",1
138,61,print,"['cn0102', 'ですから。', 'VO_CHR_INGAMESTORY_01_02_0009']",1
139,62,CHARA_FADEOUT_DEF,['c0102'],1
140,64,CHARA_SET,"['M', 'M', 'C', 'c0101', '1']",1
141,65,play_sound,['VO_CHR_INGAMESTORY_01_02_0018'],1
